index	label	name	hemisphere	region_abbrev	lobe	cortex_type	x_cog	y_cog	z_cog	volume_mm3
217	IPS1_R	IntraParietal_Sulcus_Area_1_R	R	IPS1	Par	Dorsal_Stream_Visual	64.710065	55.195753	111.066482	1083
218	FFC_R	Fusiform_Face_Complex_R	R	FFC	Temp	Ventral_Stream_Visual	49.72947	75.126159	51.324834	3020
219	V3B_R	Area_V3B_R	R	V3B	Occ	Dorsal_Stream_Visual	60.919386	48.422265	91.56238	521
220	LO1_R	Area_Lateral_Occipital_1_R	R	LO1	Occ	MT+_Complex_and_Neighboring_Visual_Areas	47.281977	45.175872	76.959302	688
221	LO2_R	Area_Lateral_Occipital_2_R	R	LO2	Occ	MT+_Complex_and_Neighboring_Visual_Areas	44.07	44.375	67.918333	600
222	PIT_R	Posterior_InferoTemporal_complex_R	R	PIT	Occ	Ventral_Stream_Visual	44.641614	49.954905	58.057753	1264
223	MT_R	Middle_Temporal_Area_R	R	MT	Occ	MT+_Complex_and_Neighboring_Visual_Areas	38.58547	57.830484	80.888889	702
224	A1_R	Primary_Auditory_Cortex_R	R	A1	Temp	Early_Auditory	46.328479	105.454693	81.894822	618
225	PSL_R	PeriSylvian_Language_Area_R	R	PSL	Par	Temporo-Parieto-Occipital_Junction	25.980366	89.316377	98.788934	2241
226	SFL_R	Superior_Frontal_Language_Area_R	R	SFL	Fr	Dorsolateral_Prefrontal	82.702811	141.914659	137.409639	1992
227	PCV_R	PreCuneus_Visual_Area_R	R	PCV	Par	Posterior_Cingulate	84.876497	74.045369	121.958412	1587
228	STV_R	Superior_Temporal_Visual_Area_R	R	STV	Par	Temporo-Parieto-Occipital_Junction	30.525124	81.598012	91.518498	1811
229	7Pm_R	Medial_Area_7P_R	R	7Pm	Par	Superior_Parietal	84.893683	59.192604	121.912173	649
230	7m_R	Area_7m_R	R	7m	Par	Posterior_Cingulate	85.454762	66.283333	105.271429	1260
231	POS1_R	Parieto-Occipital_Sulcus_Area_1_R	R	POS1	Par	Posterior_Cingulate	79.376277	69.248778	87.420702	2251
232	23d_R	Area_23d_R	R	23d	Par	Posterior_Cingulate	86.894973	103.731598	111.127469	1114
233	v23ab_R	Area_ventral_23_a+b_R	R	v23ab	Par	Posterior_Cingulate	86.05698	74.521368	90.964387	702
234	d23ab_R	Area_dorsal_23_a+b_R	R	d23ab	Par	Posterior_Cingulate	86.84742	84.848518	104.53787	911
235	31pv_R	Area_31p_ventral_R	R	31pv	Par	Posterior_Cingulate	80.754159	82.767098	105.438078	541
236	5m_R	Area_5m_R	R	5m	Par	Paracentral_Lobular_and_Mid_Cingulate	85.168053	86.77371	136.587354	1202
237	5mv_R	Area_5m_ventral_R	R	5mv	Par	Paracentral_Lobular_and_Mid_Cingulate	79.398401	84.221852	127.565623	1501
238	23c_R	Area_23c_R	R	23c	Par	Paracentral_Lobular_and_Mid_Cingulate	80.814159	89.430678	115.231268	1695
239	5L_R	Area_5L_R	R	5L	Par	Paracentral_Lobular_and_Mid_Cingulate	77.196914	77.524614	145.837619	1361
240	24dd_R	Dorsal_Area_24d_R	R	24dd	Fr	Paracentral_Lobular_and_Mid_Cingulate	84.408074	109.82229	124.363317	2279
241	24dv_R	Ventral_Area_24d_R	R	24dv	Fr	Paracentral_Lobular_and_Mid_Cingulate	82.241719	124.339302	118.569382	1117
242	7AL_R	Lateral_Area_7A_R	R	7AL	Par	Superior_Parietal	66.808871	72.715323	139.629032	1240
243	SCEF_R	Supplementary_and_Cingulate_Eye_Field_R	R	SCEF	Fr	Paracentral_Lobular_and_Mid_Cingulate	84.455241	131.183536	131.043635	2223
244	6ma_R	Area_6m_anterior_R	R	6ma	Fr	Paracentral_Lobular_and_Mid_Cingulate	69.698918	131.674072	137.728442	3421
245	7Am_R	Medial_Area_7A_R	R	7Am	Par	Superior_Parietal	81.616644	64.449523	132.899045	1466
