index	label	name	hemisphere	lobe	cortex_type	region_id	r	g	b	x_cog	y_cog	z_cog	volume_mm3
300	PGs_R	Area_PGs_R	R	Par	Inferior_Parietal	351.0	43	176	0	45.735542	57.616193	114.445321	1902.0
301	23d_R	Area_23d_R	R	Par	Posterior_Cingulate	232.0	28	92	0	86.894973	103.731598	111.127469	1114.0
302	31a_R	Area_31a_R	R	Par	Posterior_Cingulate	362.0	95	188	0	83.9	85.809091	114.561039	770.0
303	31pd_R	Area_31pd_R	R	Par	Posterior_Cingulate	361.0	51	101	0	77.37785	74.687296	107.338762	307.0
304	31pv_R	Area_31p_ventral_R	R	Par	Posterior_Cingulate	235.0	125	175	0	80.754159	82.767098	105.438078	541.0
305	7m_R	Area_7m_R	R	Par	Posterior_Cingulate	230.0	87	180	0	85.454762	66.283333	105.271429	1260.0
306	d23ab_R	Area_dorsal_23_a+b_R	R	Par	Posterior_Cingulate	234.0	243	113	0	86.84742	84.848518	104.53787	911.0
307	DVT_R	Dorsal_Transitional_Visual_Area_R	R	Par	Posterior_Cingulate	342.0	235	5	0	71.658746	57.291089	104.820462	1515.0
308	PCV_R	PreCuneus_Visual_Area_R	R	Par	Posterior_Cingulate	227.0	14	85	0	84.876497	74.045369	121.958412	1587.0
309	POS1_R	Parieto-Occipital_Sulcus_Area_1_R	R	Par	Posterior_Cingulate	231.0	189	109	0	79.376277	69.248778	87.420702	2251.0
310	POS2_R	Parieto-Occipital_Sulcus_Area_2_R	R	Par	Posterior_Cingulate	215.0	69	69	0	80.662438	56.100589	108.736747	2207.0
311	ProS_R	ProStriate_Area_R	R	Par	Posterior_Cingulate	321.0	108	51	0	70.101423	77.854093	73.617438	562.0
312	RSC_R	RetroSplenial_Complex_R	R	Par	Posterior_Cingulate	214.0	140	210	0	84.934198	92.434662	93.496756	1079.0
313	v23ab_R	Area_ventral_23_a+b_R	R	Par	Posterior_Cingulate	233.0	241	110	0	86.05698	74.521368	90.964387	702.0
314	10r_R	Area_10r_R	R	Fr	Anterior_Cingulate_and_Medial_Prefrontal	265.0	107	227	0	85.146262	172.751896	60.15493	923.0
315	10v_R	Area_10v_R	R	Fr	Anterior_Cingulate_and_Medial_Prefrontal	288.0	251	100	0	87.511155	176.704016	52.646009	2017.0
316	25_R	Area_25_R	R	Fr	Anterior_Cingulate_and_Medial_Prefrontal	364.0	77	197	0	87.037037	143.861454	58.698217	729.0
317	33pr_R	Area_33_prime_R	R	Fr	Anterior_Cingulate_and_Medial_Prefrontal	258.0	179	102	0	87.197935	136.562823	100.375215	581.0
318	8BM_R	Area_8BM_R	R	Fr	Anterior_Cingulate_and_Medial_Prefrontal	263.0	170	207	0	85.561807	157.006339	117.958003	2524.0
319	9m_R	Area_9_Middle_R	R	Fr	Anterior_Cingulate_and_Medial_Prefrontal	269.0	138	193	0	83.868691	181.249145	91.301967	4676.0
320	a24_R	Area_a24_R	R	Fr	Anterior_Cingulate_and_Medial_Prefrontal	261.0	179	97	0	85.878669	164.201566	70.600783	1533.0
321	a24pr_R	Anterior_24_prime_R	R	Fr	Anterior_Cingulate_and_Medial_Prefrontal	259.0	170	56	0	85.926439	145.473348	103.304904	938.0
322	a32pr_R	Area_anterior_32_prime_R	R	Fr	Anterior_Cingulate_and_Medial_Prefrontal	379.0	46	202	0	81.723096	153.990326	102.516324	827.0
323	d32_R	Area_dorsal_32_R	R	Fr	Anterior_Cingulate_and_Medial_Prefrontal	262.0	33	243	0	83.510986	164.846197	98.791549	1775.0
324	p24_R	Area_posterior_24_R	R	Fr	Anterior_Cingulate_and_Medial_Prefrontal	380.0	255	84	0	86.096222	161.202423	88.541696	1403.0
